taxon_key,taxon_name,common_name,genus,species
601845,Lethrinus microdon,Smalltooth emperor,Lethrinus,microdon
601846,Lethrinus nebulosus,Spangled emperor,Lethrinus,nebulosus
601847,Lethrinus obsoletus,Orangestriped emperor,Lethrinus,obsoletus
601851,Lethrinus harak,Thumbprint emperor,Lethrinus,harak
601852,Lethrinus xanthochilus,Yellowlip emperor,Lethrinus,xanthochilus
601858,Lethrinus miniatus,Trumpet emperor,Lethrinus,miniatus
601863,Lethrinus lentjan,Pink ear emperor,Lethrinus,lentjan
601869,Monotaxis grandoculis,Humpnose bigeye bream,Monotaxis,grandoculis
601893,Atule mate,Yellowtail scad,Atule,mate
601895,Caranx ignobilis,Giant trevally,Caranx,ignobilis
601906,Caranx melampygus,Bluefin trevally,Caranx,melampygus
601917,Caranx sexfasciatus,Bigeye trevally,Caranx,sexfasciatus
601926,Carangoides fulvoguttatus,Yellowspotted trevally,Carangoides,fulvoguttatus
601947,Parastromateus niger,Black pomfret,Parastromateus,niger
601950,Scomberoides commersonnianus,Talang queenfish,Scomberoides,commersonnianus
601951,Scomberoides lysan,Doublespotted queenfish,Scomberoides,lysan
601962,Seriolina nigrofasciata,Blackbanded trevally,Seriolina,nigrofasciata
602005,Antimora rostrata,Blue antimora,Antimora,rostrata
602012,Halargyreus johnsonii,Slender codling,Halargyreus,johnsonii
602020,Pseudophycis bachus,Red codling,Pseudophycis,bachus
602023,Tripterophycis gilchristi,Grenadier cod,Tripterophycis,gilchristi
602508,Epigonus telescopus,Black cardinal fish,Epigonus,telescopus
602531,Notorynchus cepedianus,Broadnose sevengill shark,Notorynchus,cepedianus
602534,Alopias superciliosus,Bigeye thresher,Alopias,superciliosus
602535,Alopias vulpinus,Thresher,Alopias,vulpinus
603255,Zenopsis nebulosa,Mirror dory,Zenopsis,nebulosa
603267,Regalecus glesne,King of herrings,Regalecus,glesne
603542,Rachycentron canadum,Cobia,Rachycentron,canadum
603611,Pseudopentaceros richardsoni,Pelagic armorhead,Pseudopentaceros,richardsoni
603915,Tetrapturus angustirostris,Shortbill spearfish,Tetrapturus,angustirostris
604443,Carangoides malabaricus,Malabar trevally,Carangoides,malabaricus
604460,Epinephelus fuscoguttatus,Brownmarbled grouper,Epinephelus,fuscoguttatus
604461,Epinephelus tauvina,Greasy grouper,Epinephelus,tauvina
